Candidate_ID,Application_Date,Department,Job_Role,Recruitment_Source,Candidate_Status,Interview_Score,Experience_Years,Expected_Salary,Offered_Salary,Hiring_Date,Time_to_Hire,Recruitment_Cost
CAND0087,2022-09-22,Operations,Logistics Coordinator,Indeed,Rejected,57,6,71296,0,,,202
CAND0088,2020-10-04,Customer Service,Customer Support Agent,LinkedIn,Rejected,37,2,50581,0,,,165
CAND0089,2024-09-14,Marketing,Digital Marketing Manager,LinkedIn,Shortlisted,64,1,78241,0,,,276
CAND0090,2024-06-24,Marketing,Marketing Specialist,Indeed,Interviewed,59,2,63727,0,,,223
CAND0091,2025-02-07,IT,System Administrator,College Campus,Selected,56,0,80369,82294,2025-03-02,23.0,1037
CAND0092,2023-08-12,Operations,Supply Chain Planner,Referral,Applied,83,10,95069,0,,,47
CAND0093,2020-09-12,Operations,Operations Analyst,College Campus,Applied,47,0,72098,0,,,180
CAND0094,2022-07-30,IT,System Administrator,College Campus,Selected,82,3,84007,86920,2022-10-13,75.0,1211
CAND0095,2020-04-22,HR,HR Generalist,LinkedIn,Rejected,57,0,53012,0,,,153
CAND0096,2025-02-21,Sales,Business Development Associate,Indeed,Shortlisted,94,1,56689,0,,,108
CAND0097,2025-01-09,Marketing,Digital Marketing Manager,LinkedIn,Joined,78,7,136597,134971,2025-03-02,52.0,2073
CAND0098,2023-06-22,Marketing,Digital Marketing Manager,Referral,Selected,75,10,107640,110411,2023-07-18,26.0,715
CAND0099,2020-11-01,Sales,Business Development Associate,Executive Search,Interviewed,91,5,69654,0,,,1405
CAND0100,2022-01-03,Marketing,Digital Marketing Manager,Referral,Shortlisted,75,1,79674,0,,,38
CAND0101,2023-06-01,Sales,Account Manager,Referral,Applied,50,2,71313,0,,,73
CAND0102,2025-12-12,Sales,Sales Representative,College Campus,Interviewed,87,1,63531,0,,,131
CAND0103,2025-12-11,Marketing,Brand Manager,LinkedIn,Joined,85,4,96951,104773,2026-01-20,40.0,3754
CAND0104,2022-06-24,Marketing,Marketing Specialist,Referral,Interviewed,60,4,67766,0,,,87
CAND0105,2025-04-17,HR,HR Manager,Glassdoor,Shortlisted,89,5,107976,0,,,188
CAND0106,2024-11-20,IT,Data Scientist,Glassdoor,Joined,90,1,90623,94693,2025-01-12,53.0,1051
CAND0107,2024-07-11,HR,HR Manager,Executive Search,Applied,33,12,125425,0,,,2364
CAND0108,2020-12-05,Finance,Financial Analyst,Referral,Rejected,59,0,68802,0,,,79
CAND0109,2025-01-07,HR,HR Generalist,Indeed,Rejected,75,4,67269,0,,,151
CAND0110,2025-07-07,Marketing,Content Writer,LinkedIn,Applied,69,3,64088,0,,,325
CAND0111,2025-04-20,Customer Service,Customer Support Agent,LinkedIn,Joined,86,2,49029,48254,2025-06-15,56.0,1517
CAND0112,2025-01-20,HR,HR Manager,Glassdoor,Selected,73,8,150829,157584,2025-03-16,55.0,2710
CAND0113,2025-04-30,Finance,Auditor,LinkedIn,Applied,32,6,73939,0,,,391
CAND0114,2025-02-05,Sales,Business Development Associate,LinkedIn,Joined,78,6,87867,87027,2025-02-27,22.0,2114
CAND0115,2026-05-19,Customer Service,Support Lead,Indeed,Joined,77,1,64237,64459,2026-06-03,15.0,1601
CAND0116,2021-06-15,IT,QA Engineer,Glassdoor,Interviewed,32,7,87239,0,,,235
CAND0117,2021-05-18,Finance,Senior Accountant,Indeed,Applied,54,6,103380,0,,,203
CAND0118,2025-12-19,Customer Service,Customer Success Manager,LinkedIn,Joined,95,0,74843,76051,2026-01-10,22.0,3074
CAND0119,2025-12-15,Sales,Business Development Associate,LinkedIn,Joined,75,0,59821,58800,2026-01-01,17.0,3541
CAND0120,2021-06-20,IT,Senior Developer,Glassdoor,Rejected,64,1,118666,0,,,153
CAND0121,2022-01-13,Marketing,Content Writer,Glassdoor,Shortlisted,66,9,55508,0,,,242
CAND0122,2026-06-27,Sales,Sales Representative,Executive Search,Applied,80,8,81491,0,,,2179
CAND0123,2020-06-03,Sales,Business Development Associate,Glassdoor,Selected,93,8,68407,67462,2020-07-12,39.0,1518
CAND0124,2026-03-01,HR,HR Manager,Glassdoor,Applied,78,10,151372,0,,,283
CAND0125,2024-05-16,Marketing,Content Writer,Glassdoor,Applied,64,6,70186,0,,,140
CAND0126,2023-01-02,Marketing,Digital Marketing Manager,Executive Search,Interviewed,84,10,119681,0,,,1882
CAND0127,2022-07-20,HR,Benefits Specialist,Referral,Interviewed,60,6,68266,0,,,33
CAND0128,2023-02-07,Customer Service,Support Lead,Referral,Interviewed,30,4,77304,0,,,92
CAND0129,2025-09-05,Sales,Sales Director,Glassdoor,Joined,95,2,138303,143875,2025-09-30,25.0,2646
CAND0130,2022-01-27,HR,HR Manager,Glassdoor,Rejected,65,4,118434,0,,,277
CAND0131,2022-08-07,Finance,Financial Analyst,Executive Search,Shortlisted,57,4,81008,0,,,2380
CAND0132,2025-09-18,Sales,Account Manager,LinkedIn,Joined,92,0,80058,85135,2025-10-14,26.0,3398
CAND0133,2025-08-03,Sales,Business Development Associate,Referral,Joined,76,5,97891,101056,2025-08-18,15.0,587
CAND0134,2025-07-27,Marketing,Marketing Specialist,Glassdoor,Joined,81,1,69241,70291,2025-09-18,53.0,2427
CAND0135,2025-01-07,HR,Benefits Specialist,Indeed,Shortlisted,74,2,77602,0,,,208
CAND0136,2020-03-29,IT,Senior Developer,College Campus,Applied,47,11,182820,0,,,164
CAND0137,2025-10-03,IT,System Administrator,LinkedIn,Applied,30,6,86585,0,,,290
CAND0138,2025-11-30,Sales,Account Manager,Indeed,Joined,92,2,78788,86189,2025-12-26,26.0,1229
CAND0139,2026-04-02,IT,Data Scientist,College Campus,Joined,79,0,122417,118126,2026-04-21,19.0,1721
CAND0140,2025-04-07,Sales,Sales Director,Indeed,Joined,96,2,203333,203161,2025-06-04,58.0,1276
CAND0141,2026-06-14,Customer Service,Support Lead,College Campus,Shortlisted,60,5,63954,0,,,72
CAND0142,2025-05-28,Operations,Logistics Coordinator,LinkedIn,Joined,86,8,62031,62886,2025-07-24,57.0,2625
CAND0143,2021-07-27,HR,Benefits Specialist,Glassdoor,Rejected,63,6,68053,0,,,212
CAND0144,2025-09-05,Operations,Supply Chain Planner,Indeed,Shortlisted,56,16,118335,0,,,154
CAND0145,2026-01-30,Marketing,Digital Marketing Manager,College Campus,Interviewed,74,0,94172,0,,,120
CAND0146,2025-02-18,Finance,Auditor,LinkedIn,Rejected,40,1,77122,0,,,245
CAND0147,2026-03-13,HR,Benefits Specialist,Indeed,Joined,90,2,64303,64314,2026-04-02,20.0,1423
CAND0148,2025-09-12,Marketing,Digital Marketing Manager,Glassdoor,Joined,85,7,112577,111092,2025-10-19,37.0,1450
CAND0149,2021-02-25,Operations,Operations Analyst,Referral,Shortlisted,63,0,63622,0,,,76
CAND0150,2025-10-07,Sales,Business Development Associate,College Campus,Joined,83,4,68439,71456,2025-11-19,43.0,787
CAND0151,2023-03-09,Operations,Operations Manager,Referral,Rejected,51,4,130939,0,,,56
CAND0152,2024-05-14,HR,Benefits Specialist,LinkedIn,Applied,45,5,80098,0,,,418
CAND0153,2025-04-14,HR,HR Generalist,College Campus,Rejected,64,3,71356,0,,,97
CAND0154,2026-03-08,Operations,Operations Analyst,LinkedIn,Joined,82,1,52014,57600,2026-04-19,42.0,2462
CAND0155,2023-09-16,Marketing,Brand Manager,LinkedIn,Selected,57,2,108395,106612,2023-11-20,65.0,2851
CAND0156,2021-03-19,Customer Service,Customer Success Manager,College Campus,Rejected,46,5,107954,0,,,188
CAND0157,2025-10-03,Sales,Business Development Associate,Indeed,Rejected,52,2,56219,0,,,137
CAND0158,2024-07-06,Customer Service,Customer Success Manager,College Campus,Rejected,69,6,94800,0,,,120
CAND0159,2021-04-18,IT,System Administrator,Executive Search,Applied,77,9,108685,0,,,1596
CAND0160,2021-03-25,Finance,Financial Analyst,Executive Search,Interviewed,60,7,78730,0,,,1603
CAND0161,2026-02-23,HR,Benefits Specialist,Indeed,Joined,86,0,51723,50956,2026-04-09,45.0,1704
CAND0162,2026-02-09,HR,HR Generalist,LinkedIn,Shortlisted,53,8,71736,0,,,407
CAND0163,2025-11-04,HR,Benefits Specialist,LinkedIn,Joined,91,0,69475,67608,2025-11-24,20.0,2331
CAND0164,2023-03-03,HR,Benefits Specialist,College Campus,Applied,40,9,69698,0,,,190
CAND0165,2021-01-03,HR,Benefits Specialist,Referral,Interviewed,43,6,75029,0,,,31
CAND0166,2023-12-24,Operations,Operations Analyst,Executive Search,Interviewed,79,4,70913,0,,,1305
CAND0167,2020-12-12,HR,Talent Acquisition Specialist,College Campus,Rejected,48,1,70857,0,,,67
CAND0168,2025-04-05,Operations,Supply Chain Planner,Indeed,Applied,42,3,83388,0,,,192
CAND0169,2026-02-13,Sales,Account Manager,LinkedIn,Joined,77,14,100614,98833,2026-04-05,51.0,3313
CAND0170,2026-04-04,IT,Software Engineer,Indeed,Joined,88,2,89923,88446,2026-05-18,44.0,1033
CAND0171,2024-05-15,Finance,Senior Accountant,College Campus,Interviewed,92,2,75634,0,,,140
CAND0172,2021-09-02,Finance,Financial Analyst,Glassdoor,Applied,65,7,87568,0,,,110
CAND0173,2025-10-31,Customer Service,Customer Support Agent,Indeed,Joined,75,4,55897,60782,2025-11-26,26.0,2123
CAND0174,2024-10-07,Customer Service,Customer Success Manager,Indeed,Shortlisted,54,6,110441,0,,,123
CAND0175,2021-06-12,Finance,Finance Manager,LinkedIn,Interviewed,94,7,148734,0,,,335
CAND0176,2026-08-17,IT,Senior Developer,Executive Search,Applied,31,0,144622,0,,,2479
CAND0177,2025-10-28,HR,HR Manager,Referral,Interviewed,74,10,139304,0,,,94
CAND0178,2024-11-20,IT,Senior Developer,LinkedIn,Joined,98,6,167840,182053,2025-01-19,60.0,3236
CAND0179,2022-01-26,IT,Software Engineer,LinkedIn,Rejected,46,3,89182,0,,,220
CAND0180,2025-12-04,Finance,Senior Accountant,Indeed,Joined,78,2,89028,95060,2026-01-08,35.0,1375
CAND0181,2021-05-11,IT,Data Scientist,Glassdoor,Applied,42,0,95402,0,,,209
CAND0182,2021-06-24,HR,HR Manager,Indeed,Applied,55,3,95235,0,,,234
CAND0183,2026-08-19,Marketing,Marketing Specialist,Executive Search,Interviewed,58,14,96110,0,,,1214
CAND0184,2025-12-26,HR,HR Manager,Indeed,Joined,96,1,139480,139462,2026-02-15,51.0,976
CAND0185,2026-04-12,Operations,Supply Chain Planner,Indeed,Shortlisted,51,3,78696,0,,,233
CAND0186,2024-02-19,Operations,Operations Manager,Executive Search,Shortlisted,73,3,98588,0,,,1270
CAND0187,2026-03-02,Finance,Auditor,LinkedIn,Joined,77,9,97970,104385,2026-03-25,23.0,4437
CAND0188,2026-02-10,IT,Senior Developer,Glassdoor,Joined,90,5,165986,160064,2026-02-28,18.0,1935
CAND0189,2025-06-04,HR,HR Generalist,Indeed,Joined,83,0,52209,53053,2025-07-04,30.0,2426
CAND0190,2026-02-02,Customer Service,Customer Support Agent,Glassdoor,Joined,96,10,54913,56036,2026-03-30,56.0,2242
CAND0191,2025-02-16,IT,Senior Developer,College Campus,Joined,81,7,156069,161093,2025-03-14,26.0,1583
CAND0192,2026-05-29,Customer Service,Customer Support Agent,College Campus,Applied,63,4,55776,0,,,181
CAND0193,2026-01-21,HR,Talent Acquisition Specialist,Glassdoor,Joined,86,7,81550,84680,2026-02-21,31.0,1967
CAND0194,2025-05-25,HR,Talent Acquisition Specialist,Glassdoor,Joined,86,3,73545,77354,2025-07-04,40.0,2684
CAND0195,2025-02-09,Customer Service,Support Lead,Indeed,Joined,89,1,69645,72234,2025-03-07,26.0,960
CAND0196,2025-06-13,Finance,Senior Accountant,Glassdoor,Joined,98,1,84460,84237,2025-07-26,43.0,1238
CAND0197,2023-08-15,Operations,Supply Chain Planner,Indeed,Applied,75,4,79034,0,,,101
CAND0198,2025-04-15,Sales,Sales Representative,LinkedIn,Joined,87,0,43367,41758,2025-05-25,40.0,3304
CAND0199,2024-03-16,IT,System Administrator,Glassdoor,Applied,42,1,69065,0,,,211
CAND0200,2022-06-09,Marketing,Content Writer,Executive Search,Rejected,35,5,54522,0,,,2395
CAND0201,2025-03-17,HR,HR Generalist,LinkedIn,Joined,95,0,58087,55899,2025-05-14,58.0,2682
CAND0202,2023-04-29,IT,System Administrator,Glassdoor,Rejected,52,9,103625,0,,,186
CAND0203,2026-05-12,Operations,Operations Manager,Glassdoor,Joined,75,3,140321,148562,2026-06-09,28.0,2392
CAND0204,2024-11-23,HR,Talent Acquisition Specialist,Glassdoor,Joined,88,2,53502,52615,2025-01-06,44.0,2401
CAND0205,2025-06-24,Marketing,Marketing Specialist,LinkedIn,Joined,96,0,45374,49571,2025-08-18,55.0,2260
CAND0206,2026-02-08,Finance,Financial Analyst,College Campus,Joined,78,10,139361,140749,2026-03-09,29.0,1589
CAND0207,2024-01-28,HR,Benefits Specialist,Glassdoor,Applied,62,6,77776,0,,,164
CAND0208,2024-05-05,Marketing,Content Writer,College Campus,Rejected,32,0,47092,0,,,127
CAND0209,2020-03-28,Customer Service,Customer Support Agent,LinkedIn,Applied,58,3,48125,0,,,429
CAND0210,2026-03-14,Operations,Logistics Coordinator,Referral,Applied,40,2,60792,0,,,89
CAND0211,2025-01-19,Operations,Logistics Coordinator,Executive Search,Applied,51,5,72974,0,,,1294
CAND0212,2020-07-19,Marketing,Digital Marketing Manager,Glassdoor,Applied,63,10,109575,0,,,177
CAND0213,2020-10-19,Operations,Logistics Coordinator,College Campus,Applied,87,4,58673,0,,,76
CAND0214,2024-05-30,Finance,Auditor,LinkedIn,Applied,41,4,84191,0,,,196
CAND0215,2020-06-14,Marketing,Content Writer,Executive Search,Rejected,71,12,75429,0,,,2309
CAND0216,2024-01-22,Marketing,Brand Manager,College Campus,Rejected,67,8,157527,0,,,61
CAND0217,2026-04-06,Operations,Operations Manager,Executive Search,Joined,78,5,174354,179091,2026-04-29,23.0,13808
CAND0218,2026-01-25,Marketing,Marketing Specialist,Glassdoor,Joined,85,9,99333,94768,2026-03-07,41.0,1728
CAND0219,2024-07-18,IT,Data Scientist,College Campus,Interviewed,31,7,138694,0,,,65
CAND0220,2022-01-25,Operations,Operations Manager,Referral,Applied,82,12,145208,0,,,39
CAND0221,2025-04-05,Operations,Operations Manager,Glassdoor,Joined,86,11,178993,174641,2025-05-19,44.0,1918
CAND0222,2023-07-24,Operations,Supply Chain Planner,LinkedIn,Interviewed,82,6,77053,0,,,349
CAND0223,2024-11-18,Marketing,Marketing Specialist,LinkedIn,Rejected,57,0,65221,0,,,432
CAND0224,2024-07-05,Operations,Operations Analyst,Referral,Rejected,51,8,96177,0,,,34
CAND0225,2026-05-24,HR,HR Manager,Indeed,Joined,95,1,93204,91065,2026-06-21,28.0,1823
CAND0226,2025-09-30,Finance,Finance Manager,Indeed,Joined,86,0,109147,117581,2025-11-15,46.0,2199
CAND0227,2025-11-17,IT,QA Engineer,Indeed,Applied,45,0,62932,0,,,95
CAND0228,2022-04-11,Customer Service,Customer Success Manager,Glassdoor,Interviewed,35,6,87014,0,,,241
CAND0229,2025-09-20,IT,Senior Developer,Referral,Applied,75,0,124389,0,,,68
CAND0230,2025-11-28,Finance,Senior Accountant,Glassdoor,Shortlisted,80,3,103358,0,,,222
CAND0231,2024-02-05,Marketing,Marketing Specialist,Indeed,Rejected,57,3,75916,0,,,209
CAND0232,2024-12-24,HR,HR Generalist,Glassdoor,Joined,85,0,63619,69463,2025-01-28,35.0,2656
CAND0233,2025-02-19,Sales,Account Manager,College Campus,Joined,97,6,100424,99335,2025-04-13,53.0,1160
CAND0234,2023-07-31,IT,System Administrator,Referral,Rejected,43,1,86363,0,,,48
CAND0235,2025-12-03,Sales,Sales Representative,LinkedIn,Interviewed,59,3,65772,0,,,395
CAND0236,2025-05-15,Sales,Sales Representative,Glassdoor,Joined,78,8,54312,53054,2025-06-15,31.0,2481
CAND0237,2020-10-18,Finance,Finance Manager,Indeed,Shortlisted,77,9,127098,0,,,203
CAND0238,2025-05-15,Operations,Operations Manager,LinkedIn,Joined,94,4,155962,162462,2025-06-29,45.0,4209
CAND0239,2025-07-14,Customer Service,Customer Success Manager,LinkedIn,Interviewed,69,2,77622,0,,,387
CAND0240,2020-04-09,HR,HR Manager,Executive Search,Interviewed,52,7,111426,0,,,1955
CAND0241,2025-07-15,Customer Service,Customer Support Agent,Glassdoor,Rejected,41,1,43531,0,,,182
CAND0242,2025-04-15,IT,Senior Developer,Indeed,Shortlisted,84,4,156224,0,,,85
CAND0243,2025-08-02,HR,HR Generalist,Referral,Applied,67,6,56255,0,,,48
CAND0244,2026-03-27,Customer Service,Customer Success Manager,Indeed,Joined,80,1,80071,80316,2026-05-22,56.0,2305
CAND0245,2025-03-31,Finance,Financial Analyst,Executive Search,Interviewed,59,1,87948,0,,,1300
CAND0246,2021-12-30,HR,Talent Acquisition Specialist,Executive Search,Shortlisted,69,0,48472,0,,,1354
CAND0247,2022-04-14,IT,System Administrator,Glassdoor,Applied,64,6,80709,0,,,237
CAND0248,2022-05-18,IT,Senior Developer,Executive Search,Applied,77,9,143451,0,,,2343
CAND0249,2025-12-19,Sales,Business Development Associate,Glassdoor,Rejected,41,4,56685,0,,,236
CAND0250,2023-07-18,Sales,Sales Representative,Glassdoor,Rejected,31,3,67285,0,,,264
CAND0251,2022-12-28,IT,System Administrator,Referral,Applied,38,5,79569,0,,,77
CAND0252,2024-12-02,HR,HR Manager,Indeed,Joined,95,0,87076,94634,2025-01-05,34.0,1465
CAND0253,2021-07-10,Operations,Operations Analyst,College Campus,Shortlisted,59,5,86242,0,,,64
CAND0254,2025-06-25,Sales,Business Development Associate,LinkedIn,Joined,85,8,81214,84819,2025-07-22,27.0,4025
CAND0255,2024-12-31,Customer Service,Support Lead,Indeed,Joined,93,7,88305,84220,2025-02-20,51.0,872
CAND0256,2023-04-02,HR,Talent Acquisition Specialist,Referral,Selected,85,5,80527,81847,2023-05-19,47.0,914
CAND0257,2025-07-21,HR,HR Manager,Glassdoor,Joined,93,3,93570,98284,2025-08-15,25.0,1474
CAND0258,2020-10-15,IT,Data Scientist,Glassdoor,Rejected,54,0,119900,0,,,238
CAND0259,2025-04-11,HR,Benefits Specialist,Glassdoor,Joined,82,8,91960,90377,2025-06-04,54.0,1625
CAND0260,2024-11-13,Operations,Operations Manager,LinkedIn,Joined,95,0,127667,124094,2025-01-08,56.0,2704
